estimation_id,region_id,simd_width,global_size,local_size,thread_count,time,speed_up,bounded_by
1980,162,8,"(6,)","(32,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1981,162,8,"(6,)","(64,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1982,162,8,"(6,)","(128,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1983,162,8,"(6,)","(256,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1984,162,8,"(6,)","(512,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1985,162,16,"(6,)","(8,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1986,162,16,"(6,)","(16,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1987,162,16,"(6,)","(32,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1988,162,16,"(6,)","(64,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1989,162,16,"(6,)","(128,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1990,162,16,"(6,)","(256,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1991,162,16,"(6,)","(512,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1992,162,32,"(6,)","(8,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1993,162,32,"(6,)","(16,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1994,162,32,"(6,)","(32,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1995,162,32,"(6,)","(64,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1996,162,32,"(6,)","(128,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1997,162,32,"(6,)","(256,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1998,162,32,"(6,)","(512,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
1999,162,8,"(6,)","(8,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
2000,162,8,"(6,)","(16,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
2001,162,8,"(6,)","(32,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
2002,162,8,"(6,)","(64,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
2003,162,8,"(6,)","(128,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
2004,162,8,"(6,)","(256,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
2005,162,8,"(6,)","(512,)",1,0.012015626060185185,0.8322496014698614,"Launch_Tax, Latencies, DRAM_BW"
